Age,EdLevel,YearsCode,Country,Currency,LanguageHaveWorkedWith,Industry,OrgSize
35-44,Secondary school,21,USA,USD	United States dollar,Go;JavaScript;Python;Rust;SQL;TypeScript,Software Development,"10,000 or more employees"
25-34,Master’s degree,12,India,INR	Indian rupee,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Software Development,2 to 9 employees
25-34,Attended college but no degree,15,USA,USD	United States dollar,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PowerShell;Python;Ruby;Rust,Software Development,"1,000 to 4,999 employees"
18-24,Bachelor’s degree,6,Serbia,EUR European Euro,Bash/Shell (all shells);C;C++;Python;TypeScript,Software Development,500 to 999 employees
35-44,Bachelor’s degree,19,Turkey,TRY	Turkish lira,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,Retail and Consumer Services,10 to 19 employees
35-44,Bachelor’s degree,20,Georgia,GEL	Georgian lari,C#;C++;Lua;PowerShell;SQL,Banking/Financial Services,"10,000 or more employees"
25-34,Professional degree,9,UK and Northern Ireland,GBP	Pound sterling,Bash/Shell (all shells);Python,Higher Education,2 to 9 employees
25-34,Bachelor’s degree,11,USA,USD	United States dollar,C#;C++;SQL,Software Development,2 to 9 employees
35-44,Bachelor’s degree,20,Saudi Arabia,SAR	Saudi Arabian riyal,C#;C++;HTML/CSS;Java;JavaScript;SQL;Swift;Visual Basic (.Net),Healthcare,"1,000 to 4,999 employees"
35-44,Bachelor’s degree,21,USA,USD	United States dollar,Bash/Shell (all shells);Go;Java;JavaScript;Lisp;Python;Rust;SQL;TypeScript,Software Development,"10,000 or more employees"
25-34,Bachelor’s degree,13,Brazil,BRL	Brazilian real,C#;HTML/CSS;JavaScript;SQL;TypeScript,"Internet, Telecomm or Information Services",20 to 99 employees
35-44,Bachelor’s degree,30,USA,USD	United States dollar,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,"Transportation, or Supply Chain","1,000 to 4,999 employees"
55-64,Bachelor’s degree,40,USA,USD	United States dollar,C#;JavaScript;PowerShell;SQL;TypeScript,Software Development,10 to 19 employees
35-44,Master’s degree,24,USA,USD	United States dollar,Bash/Shell (all shells);C#;Go;Java;JavaScript;Python;Ruby;SQL;TypeScript,Software Development,10 to 19 employees
35-44,Bachelor’s degree,10,Russian Federation,RUB	Russian ruble,Bash/Shell (all shells);C;C++;Dart;HTML/CSS;JavaScript;Rust,Software Development,10 to 19 employees
35-44,Master’s degree,13,UK and Northern Ireland,GBP	Pound sterling,C#;JavaScript,Manufacturing,20 to 99 employees
45-54,Bachelor’s degree,33,USA,USD	United States dollar,Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Kotlin;Perl;Python;SQL,Software Development,10 to 19 employees
35-44,Bachelor’s degree,15,Turkey,TRY	Turkish lira,C#;HTML/CSS;JavaScript;SQL;TypeScript,Software Development,2 to 9 employees
25-34,Bachelor’s degree,15,UK and Northern Ireland,GBP	Pound sterling,C#;F#;HTML/CSS;JavaScript;Python;TypeScript,Healthcare,20 to 99 employees
25-34,Master’s degree,10,Ireland,EUR European Euro,Bash/Shell (all shells);C;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lua;PHP;Python;SQL;Swift;TypeScript,"Internet, Telecomm or Information Services",2 to 9 employees
65+,Bachelor’s degree,31,USA,USD	United States dollar,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,"Internet, Telecomm or Information Services",100 to 499 employees
35-44,Associate degree,14,USA,USD	United States dollar,C#;HTML/CSS;JavaScript;SQL;TypeScript,Insurance,100 to 499 employees
25-34,Bachelor’s degree,15,USA,USD	United States dollar,C#;JavaScript;Python;Ruby;SQL;TypeScript,"Internet, Telecomm or Information Services","10,000 or more employees"
25-34,Master’s degree,12,Ukraine,UAH	Ukrainian hryvnia,HTML/CSS;JavaScript;TypeScript,Retail and Consumer Services,500 to 999 employees
55-64,Bachelor’s degree,45,UK and Northern Ireland,GBP	Pound sterling,Assembly;Bash/Shell (all shells);C;Perl,Software Development,"10,000 or more employees"
45-54,Secondary school,26,Italy,EUR European Euro,C++;Java;PHP,Software Development,500 to 999 employees
35-44,Bachelor’s degree,22,UK and Northern Ireland,GBP	Pound sterling,HTML/CSS;Java;JavaScript,"Transportation, or Supply Chain","10,000 or more employees"
55-64,Bachelor’s degree,31,USA,USD	United States dollar,Go;Python;Ruby;Rust;SQL,Retail and Consumer Services,"10,000 or more employees"
25-34,Master’s degree,15,Spain,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Insurance,10 to 19 employees
18-24,Bachelor’s degree,7,India,INR	Indian rupee,C;C#;C++;HTML/CSS;Java;JavaScript;MicroPython;PHP;Python;SQL,Retail and Consumer Services,2 to 9 employees
25-34,Master’s degree,21,France,EUR European Euro,Bash/Shell (all shells);C;C++;MATLAB;Perl;Python,Software Development,"5,000 to 9,999 employees"
25-34,Master’s degree,16,Italy,GBP	Pound sterling,HTML/CSS;JavaScript;R;VBA,Healthcare,20 to 99 employees
25-34,Master’s degree,12,France,EUR European Euro,Bash/Shell (all shells);Python,Manufacturing,100 to 499 employees
35-44,Master’s degree,17,UK and Northern Ireland,GBP	Pound sterling,C#;PowerShell,Media & Advertising Services,20 to 99 employees
25-34,Bachelor’s degree,5,USA,USD	United States dollar,Bash/Shell (all shells);Go;JavaScript;Python;SQL,"Internet, Telecomm or Information Services","10,000 or more employees"
25-34,Bachelor’s degree,12,USA,USD	United States dollar,Apex;Python;SQL,Banking/Financial Services,"10,000 or more employees"
25-34,Attended college but no degree,18,Cyprus,EUR European Euro,HTML/CSS;JavaScript;TypeScript,Software Development,100 to 499 employees
35-44,Master’s degree,13,Paraguay,USD	United States dollar,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL;TypeScript,Fintech,20 to 99 employees
18-24,Secondary school,9,Switzerland,CHF	Swiss franc,HTML/CSS;Java;JavaScript;TypeScript,Banking/Financial Services,100 to 499 employees
45-54,Master’s degree,32,USA,USD	United States dollar,C;C#;C++;JavaScript;Objective-C;PowerShell;Python;Scala;Swift;TypeScript,Software Development,20 to 99 employees
45-54,Attended college but no degree,40,Ireland,EUR European Euro,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;TypeScript,Computer Systems Design and Services,100 to 499 employees
45-54,Master’s degree,20,Croatia,EUR European Euro,Bash/Shell (all shells);C#;Dart;Delphi;Fortran;HTML/CSS;PowerShell;SQL;VBA,Manufacturing,500 to 999 employees
35-44,Attended college but no degree,26,Bulgaria,BGN	Bulgarian lev,Bash/Shell (all shells);Java;JavaScript;PHP;SQL;TypeScript,Software Development,100 to 499 employees
25-34,Master’s degree,12,Lithuania,EUR European Euro,C#;Java;JavaScript;Python;SQL;TypeScript,Software Development,"10,000 or more employees"
25-34,Bachelor’s degree,17,USA,USD	United States dollar,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;Nim;PHP;Rust;SQL;TypeScript,"Transportation, or Supply Chain",20 to 99 employees
18-24,Secondary school,10,UK and Northern Ireland,GBP	Pound sterling,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;PowerShell;Python;Rust,"Internet, Telecomm or Information Services",20 to 99 employees
55-64,Master’s degree,32,Netherlands,EUR European Euro,C#;HTML/CSS;SQL,Software Development,20 to 99 employees
25-34,Associate degree,12,Slovenia,EUR European Euro,C#,Healthcare,100 to 499 employees
35-44,Attended college but no degree,24,Romania,EUR European Euro,HTML/CSS;JavaScript;PHP;SQL,Software Development,"1,000 to 4,999 employees"
35-44,Bachelor’s degree,30,Spain,EUR European Euro,Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Rust;SQL;TypeScript,Healthcare,20 to 99 employees
25-34,Master’s degree,11,"Iran, Islamic Republic of...",IRR	Iranian rial,C;C#;C++;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,Healthcare,20 to 99 employees
25-34,Master’s degree,11,India,INR	Indian rupee,JavaScript;PHP;Python;SQL;TypeScript,Software Development,20 to 99 employees
18-24,Bachelor’s degree,10,USA,USD	United States dollar,Dart;Go;HTML/CSS;JavaScript;Python;Rust;SQL,Manufacturing,10 to 19 employees
45-54,Bachelor’s degree,33,USA,USD	United States dollar,C++;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL,Software Development,100 to 499 employees
35-44,Master’s degree,4,USA,USD	United States dollar,C#;HTML/CSS;JavaScript;PowerShell;TypeScript,Manufacturing,"5,000 to 9,999 employees"
18-24,Bachelor’s degree,13,Germany,EUR European Euro,Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Rust;TypeScript,Software Development,20 to 99 employees
45-54,Master’s degree,30,Spain,EUR European Euro,JavaScript;Python;TypeScript,Computer Systems Design and Services,100 to 499 employees
35-44,Master’s degree,23,Germany,EUR European Euro,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;SQL;TypeScript,Software Development,10 to 19 employees
45-54,Master’s degree,35,Russian Federation,RUB	Russian ruble,C#;C++;SQL,Software Development,20 to 99 employees
25-34,Bachelor’s degree,14,USA,USD	United States dollar,Java;JavaScript;TypeScript,Software Development,"1,000 to 4,999 employees"
18-24,Attended college but no degree,16,Brazil,BRL	Brazilian real,Bash/Shell (all shells);C;C#;Go;Java;JavaScript;PHP;PowerShell;Ruby;Rust;SQL;TypeScript,Software Development,100 to 499 employees
25-34,Bachelor’s degree,19,Italy,EUR European Euro,Python,Software Development,100 to 499 employees
55-64,Bachelor’s degree,45,USA,USD	United States dollar,Bash/Shell (all shells);Java,Government,"10,000 or more employees"
25-34,Master’s degree,12,France,EUR European Euro,Bash/Shell (all shells);C;Go;JavaScript;Python;Rust;SQL;TypeScript,Software Development,20 to 99 employees
45-54,Attended college but no degree,30,Netherlands,EUR European Euro,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL;VBA,Software Development,10 to 19 employees
25-34,Bachelor’s degree,11,India,INR	Indian rupee,Apex;C;Cobol;Ruby,Insurance,100 to 499 employees
18-24,Bachelor’s degree,2,India,INR	Indian rupee,Bash/Shell (all shells);C++;Dart;Go;JavaScript;Lua;Python;Ruby;Rust;TypeScript,"Internet, Telecomm or Information Services",10 to 19 employees
45-54,Master’s degree,22,Germany,EUR European Euro,Bash/Shell (all shells);Ruby;SQL,"Internet, Telecomm or Information Services",20 to 99 employees
25-34,Associate degree,9,Canada,CAD	Canadian dollar,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;SQL;TypeScript,"Internet, Telecomm or Information Services",100 to 499 employees
45-54,Bachelor’s degree,36,USA,USD	United States dollar,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby,Software Development,2 to 9 employees
35-44,Associate degree,34,UK and Northern Ireland,GBP	Pound sterling,HTML/CSS;JavaScript;Python;SQL,Manufacturing,"1,000 to 4,999 employees"
25-34,Master’s degree,21,Latvia,EUR European Euro,C;HTML/CSS;JavaScript;Kotlin;Python;Swift;TypeScript,Software Development,2 to 9 employees
25-34,Master’s degree,12,USA,USD	United States dollar,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Lua;Python;SQL;TypeScript,"Internet, Telecomm or Information Services",100 to 499 employees
35-44,Bachelor’s degree,20,USA,USD	United States dollar,C#;JavaScript;PowerShell;SQL;TypeScript,Healthcare,"1,000 to 4,999 employees"
25-34,Bachelor’s degree,16,Costa Rica,USD	United States dollar,C;C++;Go;JavaScript;TypeScript,"Internet, Telecomm or Information Services",20 to 99 employees
45-54,Master’s degree,28,Austria,EUR European Euro,C#;JavaScript;SQL,Energy,"1,000 to 4,999 employees"
35-44,Professional degree,27,Poland,PLN	Polish zloty,C++;Go;Python;Rust,Software Development,"10,000 or more employees"
18-24,Bachelor’s degree,5,India,INR	Indian rupee,Bash/Shell (all shells);Dart;Go;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,Media & Advertising Services,"1,000 to 4,999 employees"
35-44,Professional degree,19,France,EUR European Euro,C;OCaml,Higher Education,"1,000 to 4,999 employees"
35-44,Bachelor’s degree,15,Italy,EUR European Euro,HTML/CSS;JavaScript;PHP;SQL,Software Development,2 to 9 employees
25-34,Bachelor’s degree,9,USA,USD	United States dollar,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,Retail and Consumer Services,"5,000 to 9,999 employees"
35-44,Attended college but no degree,20,Czech Republic,CZK	Czech koruna,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;TypeScript,Banking/Financial Services,100 to 499 employees
35-44,Bachelor’s degree,23,USA,USD	United States dollar,PHP;PowerShell;SQL,Higher Education,100 to 499 employees
35-44,Bachelor’s degree,19,UK and Northern Ireland,GBP	Pound sterling,C#;TypeScript,Banking/Financial Services,20 to 99 employees
35-44,Master’s degree,18,Canada,CAD	Canadian dollar,HTML/CSS;JavaScript;Python,Software Development,100 to 499 employees
35-44,Bachelor’s degree,21,Spain,EUR European Euro,Bash/Shell (all shells);Kotlin;Python;Scala;SQL,Media & Advertising Services,"1,000 to 4,999 employees"
35-44,Master’s degree,12,Norway,NOK	Norwegian krone,Bash/Shell (all shells);Java;Kotlin;Python;SQL,Government,20 to 99 employees
45-54,Master’s degree,10,Romania,RON	Romanian leu,Bash/Shell (all shells);C#;Go;Groovy;HTML/CSS;JavaScript;PowerShell;Python;SQL,Software Development,100 to 499 employees
25-34,Secondary school,16,Austria,EUR European Euro,HTML/CSS;Java;JavaScript;Python;Rust;SQL;TypeScript,Fintech,100 to 499 employees
25-34,Bachelor’s degree,17,USA,USD	United States dollar,C#;Go;HTML/CSS;Java;JavaScript;PowerShell;Python;TypeScript,Software Development,20 to 99 employees
35-44,Master’s degree,25,UK and Northern Ireland,GBP	Pound sterling,Bash/Shell (all shells);Python,Banking/Financial Services,100 to 499 employees
35-44,Master’s degree,24,Poland,USD	United States dollar,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Solidity;SQL,Software Development,100 to 499 employees
18-24,Bachelor’s degree,9,UK and Northern Ireland,GBP	Pound sterling,Bash/Shell (all shells);GDScript;PowerShell;Python;SQL,Fintech,20 to 99 employees
45-54,Attended college but no degree,42,Italy,EUR European Euro,Bash/Shell (all shells);C;C#;C++;Dart;GDScript;Go;Groovy;HTML/CSS;Java;JavaScript;Lua;Objective-C;Rust;SQL;Swift;TypeScript;Zig,Software Development,2 to 9 employees
18-24,Bachelor’s degree,5,Ukraine,UAH	Ukrainian hryvnia,JavaScript,Software Development,100 to 499 employees
25-34,Master’s degree,16,Portugal,EUR European Euro,Bash/Shell (all shells);C#;Dart;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;Python;SQL;Swift,Software Development,2 to 9 employees
45-54,Attended college but no degree,38,Finland,EUR European Euro,Bash/Shell (all shells);Java;SQL,Banking/Financial Services,100 to 499 employees
35-44,Master’s degree,22,Canada,CAD	Canadian dollar,C#;JavaScript;SQL;TypeScript,Software Development,100 to 499 employees
35-44,Master’s degree,16,USA,USD	United States dollar,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,"Internet, Telecomm or Information Services",100 to 499 employees
25-34,Master’s degree,16,Germany,EUR European Euro,Assembly;C++;Go;Java;Objective-C;PHP;Python;Swift,Software Development,100 to 499 employees
25-34,Master’s degree,11,Netherlands,EUR European Euro,Python,Banking/Financial Services,"10,000 or more employees"
35-44,Professional degree,23,UK and Northern Ireland,GBP	Pound sterling,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Software Development,2 to 9 employees
35-44,Master’s degree,37,Ukraine,USD	United States dollar,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Ruby;Rust;SQL;TypeScript,"Transportation, or Supply Chain",10 to 19 employees
25-34,Bachelor’s degree,6,USA,USD	United States dollar,C;C++;Python,"Transportation, or Supply Chain","5,000 to 9,999 employees"
25-34,Master’s degree,16,Canada,CAD	Canadian dollar,Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;PowerShell;TypeScript,Software Development,"10,000 or more employees"
55-64,Bachelor’s degree,44,USA,USD	United States dollar,Java;Kotlin;PHP;Swift,Software Development,2 to 9 employees
25-34,Bachelor’s degree,10,Finland,EUR European Euro,C#;HTML/CSS;Python,Healthcare,100 to 499 employees
25-34,Bachelor’s degree,6,USA,USD	United States dollar,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;MicroPython;PowerShell;Python;SQL;TypeScript;VBA;Visual Basic (.Net),Manufacturing,100 to 499 employees
55-64,Bachelor’s degree,45,UK and Northern Ireland,GBP	Pound sterling,Haskell;TypeScript,Software Development,100 to 499 employees
55-64,Attended college but no degree,28,USA,USD	United States dollar,C#;Fortran;Python;SQL,Higher Education,20 to 99 employees
25-34,Bachelor’s degree,10,India,INR	Indian rupee,Go;Java;SQL,Insurance,500 to 999 employees
25-34,Bachelor’s degree,7,USA,USD	United States dollar,HTML/CSS;Python;TypeScript,Government,"1,000 to 4,999 employees"
35-44,Bachelor’s degree,15,Cyprus,EUR European Euro,Bash/Shell (all shells);Go;Python;SQL,Software Development,100 to 499 employees
35-44,Bachelor’s degree,10,USA,USD	United States dollar,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,Fintech,"10,000 or more employees"
25-34,Master’s degree,14,Czech Republic,CZK	Czech koruna,Assembly;Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;Lua;PowerShell;Python;Rust;SQL,"Internet, Telecomm or Information Services",500 to 999 employees
35-44,Master’s degree,30,USA,USD	United States dollar,Cobol;Java;JavaScript;Python;SQL,Retail and Consumer Services,"10,000 or more employees"
55-64,Bachelor’s degree,42,USA,USD	United States dollar,JavaScript;Python,Computer Systems Design and Services,20 to 99 employees
25-34,Attended college but no degree,18,Netherlands,EUR European Euro,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Objective-C;Perl;PHP;SQL,Software Development,2 to 9 employees
35-44,Master’s degree,12,South Africa,ZAR	South African rand,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;Scala;SQL,Fintech,"5,000 to 9,999 employees"
25-34,Bachelor’s degree,9,Pakistan,PKR	Pakistani rupee,C#;JavaScript;TypeScript,Software Development,10 to 19 employees
25-34,Bachelor’s degree,11,Ukraine,USD	United States dollar,HTML/CSS;JavaScript;TypeScript,Software Development,20 to 99 employees
45-54,Master’s degree,37,Spain,EUR European Euro,Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,"Internet, Telecomm or Information Services",10 to 19 employees
18-24,Bachelor’s degree,10,USA,USD	United States dollar,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Rust;TypeScript,Software Development,500 to 999 employees
45-54,Master’s degree,34,France,EUR European Euro,Java,Software Development,2 to 9 employees
25-34,Master’s degree,12,Ukraine,UAH	Ukrainian hryvnia,C#;HTML/CSS;PowerShell;SQL;TypeScript,Software Development,100 to 499 employees
55-64,Master’s degree,30,Portugal,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;SQL,Software Development,"1,000 to 4,999 employees"
35-44,Master’s degree,9,USA,USD	United States dollar,JavaScript;Rust;TypeScript,Software Development,20 to 99 employees
25-34,Bachelor’s degree,6,USA,USD	United States dollar,Bash/Shell (all shells);C#;Groovy;HTML/CSS;JavaScript;Kotlin;Python;R;SQL;Swift;TypeScript,Software Development,500 to 999 employees
25-34,Master’s degree,8,UK and Northern Ireland,GBP	Pound sterling,C#;HTML/CSS;SQL,Fintech,100 to 499 employees
18-24,Bachelor’s degree,4,Romania,RON	Romanian leu,HTML/CSS;Java;JavaScript;SQL;TypeScript,Software Development,10 to 19 employees
35-44,Bachelor’s degree,22,Canada,CAD	Canadian dollar,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Python;Scala;TypeScript,Software Development,"10,000 or more employees"
25-34,Bachelor’s degree,14,USA,USD	United States dollar,C#;C++;Python,Software Development,"10,000 or more employees"
45-54,Master’s degree,35,France,EUR European Euro,C;C++;Java;JavaScript;PHP;PowerShell;Python;SQL,Computer Systems Design and Services,2 to 9 employees
45-54,Master’s degree,38,Germany,EUR European Euro,Bash/Shell (all shells);Java;SQL,Software Development,20 to 99 employees
